Tamil,English
நான்,I am
நீங்கள்,you
ஒரு,One
இல்லை,No
என்ன,what
என்று,that
வேண்டும்,want
இந்த,This
நாம்,We
சரி,ok
என்,N
அது,It is
நீ,you
அவர்,He
உங்கள்,Your
இது,This is
எனக்கு,to me
மற்றும்,And
உள்ளது,has
அதை,it
என்னை,me
தான்,That's it
அவர்கள்,They are
ஆனால்,But
அந்த,That
செய்ய,to do
இங்கே,Here
ஆமாம்,Yes
முடியும்,can
நாங்கள்,We are
இப்போது,Now
பற்றி,About
தெரியும்,know
முடியாது,Can't
ஓ,oh
இருந்தது,was
எப்படி,how
சில,Some
இருக்க,to be
ஏன்,why
அனைத்து,All
இருக்கும்,will be
நல்ல,good
அவரை,him
வெளியே,out
இருக்கிறது,There is
அவள்,she
மிகவும்,Very much
செய்து,done
இருந்து,from
பார்க்க,to see
மீண்டும்,Again
அங்கு,there
இன்னும்,Still
உங்களுக்கு,to you
நன்றி,thank you
வேண்டாம்,Don't
என்றால்,If
வேலை,Work
யார்,who
கிடைத்தது,Got it
உனக்கு,to you
நேரம்,Time
அல்லது,Or
போகிறேன்,going
போது,when
எந்த,which
விட்டு,left
எனவே,Therefore
ஏய்,hey
எங்கே,where
வரை,up to
நன்றாக,Well done
இருக்கிறேன்,I am
அவரது,His
எடுத்து,take
பெற,to get
உன்னை,you
கீழே,below
கிடைக்கும்,Available
சொல்ல,to say
தெரியாது,don't know
உள்ளன,There are
மனிதன்,the man
ஆம்,Yes
போ,go
இரண்டு,Two
மீது,on
இங்கு,Here
மக்கள்,People
ஏதாவது,Something
எங்கள்,our
வா.,come on
நினைக்கிறேன்,think
இல்ல,No
உன்,your
கூட,too
போன்ற,such as
உண்மையில்,In fact
வா,come on
திரு,Mr
fucking,fucking
அல்ல,Not
தயவு,please
தெரியுமா,Do you know?
எப்போதும்,Always
என,as
கொண்டு,with
நாள்,day
குழந்தை,baby
பணம்,Money
பெரிய,Big
வழி,the way
செல்ல,to go
போக,to go
திரும்ப,return
வந்து,come
அவன்,he
இனி,No more
பிறகு,After
உள்ள,in
நல்லது,good
மூலம்,By
முதல்,First
அவளை,her
சிறிய,Small
பெண்,girl
மேலும்,Also
பையன்,boy
பாருங்கள்,Look
விட,than
நிறைய,A lot
உங்களை,you
ஐயா,sir
முன்,Before
எங்களுக்கு,to us
உள்ளே,Inside
வருந்துகிறேன்,sorry
cooper,cooper
கண்டுபிடிக்க,to find out
போகலாம்,let's go
இதை,This
ஒருவேளை,Maybe
கதை,story
இன்று,Today
விஷயம்,matter
வைத்து,keep
இல்லையா,or not
கேட்க,to hear
சிறந்த,The best